Challenge,Predicate,NumSubmissions,NumCorrect,NumIncorrect,NumEdges
jyS8Bmceejj9pLbTW,Inv1,30,7,23,48
jyS8Bmceejj9pLbTW,Inv2,56,7,49,76
jyS8Bmceejj9pLbTW,Inv3,45,18,27,56
jyS8Bmceejj9pLbTW,Inv4,109,20,89,136
QxGnrFQnXPGh2Lh8C,inv1,255,23,232,384
QxGnrFQnXPGh2Lh8C,inv2,125,20,105,222
QxGnrFQnXPGh2Lh8C,inv3,476,32,444,842
QxGnrFQnXPGh2Lh8C,inv4,217,39,178,330
QxGnrFQnXPGh2Lh8C,inv5,425,29,396,577
QxGnrFQnXPGh2Lh8C,inv6,142,22,120,250
QxGnrFQnXPGh2Lh8C,inv7,135,13,122,178
QxGnrFQnXPGh2Lh8C,inv8,183,21,162,328
QxGnrFQnXPGh2Lh8C,inv9,382,25,357,520
QxGnrFQnXPGh2Lh8C,inv10,179,31,148,267
bNCCf9FMRZoxqobfX,inv1,61,22,39,110
bNCCf9FMRZoxqobfX,inv2,243,45,198,370
bNCCf9FMRZoxqobfX,inv3,47,13,34,74
bNCCf9FMRZoxqobfX,inv4,148,39,109,224
bNCCf9FMRZoxqobfX,inv5,155,62,93,211
bNCCf9FMRZoxqobfX,inv6,130,10,120,231
bNCCf9FMRZoxqobfX,inv7,102,35,67,179
bNCCf9FMRZoxqobfX,inv8,113,55,58,159
bNCCf9FMRZoxqobfX,inv9,467,61,406,597
bNCCf9FMRZoxqobfX,inv10,193,33,160,241
PQAJE67kz8w5NWJuM,inv1,39,19,20,65
PQAJE67kz8w5NWJuM,inv2,33,10,23,60
PQAJE67kz8w5NWJuM,inv3,32,8,24,51
PQAJE67kz8w5NWJuM,inv4,46,16,30,78
PQAJE67kz8w5NWJuM,inv5,86,11,75,170
PQAJE67kz8w5NWJuM,inv6,91,13,78,173
PQAJE67kz8w5NWJuM,inv7,133,25,108,239
PQAJE67kz8w5NWJuM,inv8,19,13,6,29
PQAJE67kz8w5NWJuM,inv9,101,20,81,138
PQAJE67kz8w5NWJuM,inv10,94,16,78,159
FwCGymHmbqcziisH5,prop1,45,7,38,58
FwCGymHmbqcziisH5,prop2,35,4,31,60
FwCGymHmbqcziisH5,prop3,120,9,111,163
FwCGymHmbqcziisH5,prop4,49,8,41,68
FwCGymHmbqcziisH5,prop5,87,1,86,100
FwCGymHmbqcziisH5,prop6,60,3,57,72
FwCGymHmbqcziisH5,prop7,30,4,26,35
FwCGymHmbqcziisH5,prop8,30,3,27,29
FwCGymHmbqcziisH5,prop9,68,1,67,78
FwCGymHmbqcziisH5,prop10,9,6,3,10
FwCGymHmbqcziisH5,prop11,14,3,11,21
FwCGymHmbqcziisH5,prop12,2,1,1,1
FwCGymHmbqcziisH5,prop13,11,3,8,12
FwCGymHmbqcziisH5,prop14,22,1,21,25
FwCGymHmbqcziisH5,prop15,30,4,26,33
FwCGymHmbqcziisH5,prop16,7,2,5,7
FwCGymHmbqcziisH5,prop17,14,1,13,15
FwCGymHmbqcziisH5,prop18,2,1,1,1
zRAn69AocpkmxXZnW,inv1,18,8,10,35
zRAn69AocpkmxXZnW,inv2,14,7,7,18
zRAn69AocpkmxXZnW,inv3,54,21,33,79
zRAn69AocpkmxXZnW,inv4,93,17,76,156
zRAn69AocpkmxXZnW,inv5,94,12,82,163
zRAn69AocpkmxXZnW,inv6,71,13,58,126
zRAn69AocpkmxXZnW,inv7,84,18,66,146
zRAn69AocpkmxXZnW,inv8,69,14,55,109
zRAn69AocpkmxXZnW,inv9,134,21,113,216
zRAn69AocpkmxXZnW,inv10,137,13,124,223
zRAn69AocpkmxXZnW,inv11,214,23,191,289
zRAn69AocpkmxXZnW,inv12,114,14,100,155
zRAn69AocpkmxXZnW,inv13,93,22,71,126
zRAn69AocpkmxXZnW,inv14,181,13,168,210
zRAn69AocpkmxXZnW,inv15,155,6,149,230
PSqwzYAfW9dFAa9im,inv1,381,55,326,644
PSqwzYAfW9dFAa9im,inv2,94,42,52,146
PSqwzYAfW9dFAa9im,inv3,212,38,174,365
PSqwzYAfW9dFAa9im,inv4,174,26,148,367
PSqwzYAfW9dFAa9im,inv5,597,130,467,859
PSqwzYAfW9dFAa9im,inv6,341,82,259,475
PSqwzYAfW9dFAa9im,inv7,411,76,335,561
PSqwzYAfW9dFAa9im,inv8,215,57,158,325
PSqwzYAfW9dFAa9im,inv9,664,63,601,911
PSqwzYAfW9dFAa9im,inv10,148,41,107,214
PSqwzYAfW9dFAa9im,inv11,143,58,85,179
PSqwzYAfW9dFAa9im,inv12,245,56,189,393
PSqwzYAfW9dFAa9im,inv13,234,46,188,309
PSqwzYAfW9dFAa9im,inv14,234,55,179,311
PSqwzYAfW9dFAa9im,inv15,183,57,126,211
YH3ANm7Y5Qe5dSYem,inv1,17,5,12,29
YH3ANm7Y5Qe5dSYem,inv2,14,10,4,21
YH3ANm7Y5Qe5dSYem,inv3,54,27,27,92
YH3ANm7Y5Qe5dSYem,inv4,60,17,43,110
YH3ANm7Y5Qe5dSYem,inv5,91,11,80,151
YH3ANm7Y5Qe5dSYem,inv6,30,10,20,54
YH3ANm7Y5Qe5dSYem,inv7,32,12,20,49
YH3ANm7Y5Qe5dSYem,inv8,76,10,66,115
YH3ANm7Y5Qe5dSYem,inv9,76,12,64,117
YH3ANm7Y5Qe5dSYem,inv10,35,4,31,56
YH3ANm7Y5Qe5dSYem,inv11,281,12,269,443
YH3ANm7Y5Qe5dSYem,inv12,199,12,187,312
YH3ANm7Y5Qe5dSYem,inv13,87,5,82,125
YH3ANm7Y5Qe5dSYem,inv14,319,17,302,443
YH3ANm7Y5Qe5dSYem,inv15,137,8,129,186
JDKw8yJZF5fiP3jv3,inv1,162,36,126,260
JDKw8yJZF5fiP3jv3,inv2,57,32,25,83
JDKw8yJZF5fiP3jv3,inv3,107,24,83,162
JDKw8yJZF5fiP3jv3,inv4,77,18,59,127
JDKw8yJZF5fiP3jv3,inv5,358,89,269,461
JDKw8yJZF5fiP3jv3,inv6,200,58,142,276
JDKw8yJZF5fiP3jv3,inv7,217,57,160,292
JDKw8yJZF5fiP3jv3,inv8,113,38,75,178
JDKw8yJZF5fiP3jv3,inv9,377,41,336,503
JDKw8yJZF5fiP3jv3,inv10,126,31,95,186
JDKw8yJZF5fiP3jv3,inv11,90,45,45,110
JDKw8yJZF5fiP3jv3,inv12,111,32,79,172
JDKw8yJZF5fiP3jv3,inv13,77,15,62,97
JDKw8yJZF5fiP3jv3,inv14,103,25,78,136
JDKw8yJZF5fiP3jv3,inv15,23,8,15,24
sDLK7uBCbgZon3znd,inv1,40,14,26,67
sDLK7uBCbgZon3znd,inv2,20,7,13,32
sDLK7uBCbgZon3znd,inv3,12,5,7,19
sDLK7uBCbgZon3znd,inv4,35,13,22,63
sDLK7uBCbgZon3znd,inv5,50,13,37,80
sDLK7uBCbgZon3znd,inv6,77,9,68,136
sDLK7uBCbgZon3znd,inv7,98,17,81,186
sDLK7uBCbgZon3znd,inv8,26,19,7,38
sDLK7uBCbgZon3znd,inv9,59,30,29,79
sDLK7uBCbgZon3znd,inv10,63,12,51,103
JC8Tij8o8GZb99gEJ,Inv1,51,8,43,87
JC8Tij8o8GZb99gEJ,Inv2,85,18,67,98
JC8Tij8o8GZb99gEJ,Inv3,120,7,113,152
JC8Tij8o8GZb99gEJ,Inv4,201,1,200,261
dkZH6HJNQNLLDX6Aj,inv1,399,57,342,782
dkZH6HJNQNLLDX6Aj,inv2,180,51,129,392
dkZH6HJNQNLLDX6Aj,inv3,1249,208,1041,1732
dkZH6HJNQNLLDX6Aj,inv4,566,117,449,923
dkZH6HJNQNLLDX6Aj,inv5,525,60,465,1130
dkZH6HJNQNLLDX6Aj,inv6,334,65,269,493
dkZH6HJNQNLLDX6Aj,inv7,1370,68,1302,2125
dkZH6HJNQNLLDX6Aj,inv8,456,129,327,615
zoEADeCW2b2suJB2k,inv1,49,11,38,86
zoEADeCW2b2suJB2k,inv2,35,7,28,51
zoEADeCW2b2suJB2k,inv3,132,9,123,229
zoEADeCW2b2suJB2k,inv4,309,24,285,430
zoEADeCW2b2suJB2k,inv5,149,15,134,201
zoEADeCW2b2suJB2k,inv6,41,18,23,63
zoEADeCW2b2suJB2k,inv7,173,9,164,222
aTwuoJgesSd8hXXEP,inv1,50,21,29,83
aTwuoJgesSd8hXXEP,inv2,189,41,148,268
aTwuoJgesSd8hXXEP,inv3,29,8,21,45
aTwuoJgesSd8hXXEP,inv4,112,31,81,166
aTwuoJgesSd8hXXEP,inv5,115,46,69,142
aTwuoJgesSd8hXXEP,inv6,76,14,62,136
aTwuoJgesSd8hXXEP,inv7,103,24,79,171
aTwuoJgesSd8hXXEP,inv8,86,38,48,111
aTwuoJgesSd8hXXEP,inv9,341,12,329,387
aTwuoJgesSd8hXXEP,inv10,64,8,56,74
9jPK8KBWzjFmBx4Hb,prop1,33,16,17,50
9jPK8KBWzjFmBx4Hb,prop2,60,4,56,134
9jPK8KBWzjFmBx4Hb,prop3,7,2,5,10
9jPK8KBWzjFmBx4Hb,prop4,56,4,52,109
9jPK8KBWzjFmBx4Hb,prop5,180,8,172,305
9jPK8KBWzjFmBx4Hb,prop6,143,13,130,262
9jPK8KBWzjFmBx4Hb,prop7,28,5,23,51
9jPK8KBWzjFmBx4Hb,prop8,134,4,130,240
9jPK8KBWzjFmBx4Hb,prop9,51,6,45,88
9jPK8KBWzjFmBx4Hb,prop10,105,2,103,221
9jPK8KBWzjFmBx4Hb,prop11,93,8,85,143
9jPK8KBWzjFmBx4Hb,prop12,238,6,232,349
9jPK8KBWzjFmBx4Hb,prop13,48,14,34,67
9jPK8KBWzjFmBx4Hb,prop14,84,14,70,116
9jPK8KBWzjFmBx4Hb,prop15,25,2,23,45
9jPK8KBWzjFmBx4Hb,prop16,65,5,60,98
9jPK8KBWzjFmBx4Hb,prop17,97,10,87,120
9jPK8KBWzjFmBx4Hb,prop18,125,4,121,193
9jPK8KBWzjFmBx4Hb,prop19,44,2,42,65
9jPK8KBWzjFmBx4Hb,prop20,42,4,38,75
WGdhwKZnCu7aKhXq9,Inv1,14,6,8,18
WGdhwKZnCu7aKhXq9,Inv2,32,9,23,34
WGdhwKZnCu7aKhXq9,Inv3,45,6,39,51
WGdhwKZnCu7aKhXq9,Inv4,94,8,86,125
