Challenge,Predicate,NumSubmissions,NumCorrect,NumIncorrect,NumEdges
jyS8Bmceejj9pLbTW,Inv1,30,7,23,48
jyS8Bmceejj9pLbTW,Inv2,55,7,48,75
jyS8Bmceejj9pLbTW,Inv3,45,18,27,56
jyS8Bmceejj9pLbTW,Inv4,109,20,89,136
QxGnrFQnXPGh2Lh8C,inv1,234,22,212,352
QxGnrFQnXPGh2Lh8C,inv2,122,19,103,216
QxGnrFQnXPGh2Lh8C,inv3,471,31,440,829
QxGnrFQnXPGh2Lh8C,inv4,207,38,169,312
QxGnrFQnXPGh2Lh8C,inv5,407,28,379,544
QxGnrFQnXPGh2Lh8C,inv6,136,22,114,236
QxGnrFQnXPGh2Lh8C,inv7,135,13,122,175
QxGnrFQnXPGh2Lh8C,inv8,180,21,159,322
QxGnrFQnXPGh2Lh8C,inv9,371,25,346,503
QxGnrFQnXPGh2Lh8C,inv10,170,30,140,251
bNCCf9FMRZoxqobfX,inv1,58,20,38,101
bNCCf9FMRZoxqobfX,inv2,224,43,181,334
bNCCf9FMRZoxqobfX,inv3,46,13,33,71
bNCCf9FMRZoxqobfX,inv4,135,36,99,199
bNCCf9FMRZoxqobfX,inv5,141,58,83,192
bNCCf9FMRZoxqobfX,inv6,125,10,115,217
bNCCf9FMRZoxqobfX,inv7,88,33,55,150
bNCCf9FMRZoxqobfX,inv8,95,44,51,126
bNCCf9FMRZoxqobfX,inv9,458,61,397,581
bNCCf9FMRZoxqobfX,inv10,168,32,136,206
PQAJE67kz8w5NWJuM,inv1,35,18,17,59
PQAJE67kz8w5NWJuM,inv2,31,8,23,58
PQAJE67kz8w5NWJuM,inv3,31,7,24,50
PQAJE67kz8w5NWJuM,inv4,44,14,30,76
PQAJE67kz8w5NWJuM,inv5,84,11,73,166
PQAJE67kz8w5NWJuM,inv6,88,13,75,167
PQAJE67kz8w5NWJuM,inv7,124,24,100,224
PQAJE67kz8w5NWJuM,inv8,19,13,6,29
PQAJE67kz8w5NWJuM,inv9,98,20,78,129
PQAJE67kz8w5NWJuM,inv10,91,16,75,150
FwCGymHmbqcziisH5,prop1,45,7,38,58
FwCGymHmbqcziisH5,prop2,35,4,31,60
FwCGymHmbqcziisH5,prop3,120,9,111,163
FwCGymHmbqcziisH5,prop4,49,8,41,68
FwCGymHmbqcziisH5,prop5,87,1,86,100
FwCGymHmbqcziisH5,prop6,60,3,57,72
FwCGymHmbqcziisH5,prop7,30,4,26,35
FwCGymHmbqcziisH5,prop8,30,3,27,29
FwCGymHmbqcziisH5,prop9,68,1,67,78
FwCGymHmbqcziisH5,prop10,9,6,3,10
FwCGymHmbqcziisH5,prop11,14,3,11,21
FwCGymHmbqcziisH5,prop12,2,1,1,1
FwCGymHmbqcziisH5,prop13,11,3,8,12
FwCGymHmbqcziisH5,prop14,22,1,21,25
FwCGymHmbqcziisH5,prop15,30,4,26,33
FwCGymHmbqcziisH5,prop16,7,2,5,7
FwCGymHmbqcziisH5,prop17,14,1,13,15
FwCGymHmbqcziisH5,prop18,2,1,1,1
zRAn69AocpkmxXZnW,inv1,17,8,9,34
zRAn69AocpkmxXZnW,inv2,14,7,7,18
zRAn69AocpkmxXZnW,inv3,50,19,31,74
zRAn69AocpkmxXZnW,inv4,92,16,76,155
zRAn69AocpkmxXZnW,inv5,92,12,80,161
zRAn69AocpkmxXZnW,inv6,70,13,57,124
zRAn69AocpkmxXZnW,inv7,82,18,64,144
zRAn69AocpkmxXZnW,inv8,69,14,55,109
zRAn69AocpkmxXZnW,inv9,132,21,111,214
zRAn69AocpkmxXZnW,inv10,137,13,124,223
zRAn69AocpkmxXZnW,inv11,214,23,191,289
zRAn69AocpkmxXZnW,inv12,114,14,100,155
zRAn69AocpkmxXZnW,inv13,93,22,71,126
zRAn69AocpkmxXZnW,inv14,181,13,168,210
zRAn69AocpkmxXZnW,inv15,155,6,149,230
PSqwzYAfW9dFAa9im,inv1,371,54,317,623
PSqwzYAfW9dFAa9im,inv2,91,41,50,142
PSqwzYAfW9dFAa9im,inv3,201,37,164,340
PSqwzYAfW9dFAa9im,inv4,171,26,145,358
PSqwzYAfW9dFAa9im,inv5,592,127,465,844
PSqwzYAfW9dFAa9im,inv6,308,81,227,436
PSqwzYAfW9dFAa9im,inv7,403,72,331,553
PSqwzYAfW9dFAa9im,inv8,206,51,155,316
PSqwzYAfW9dFAa9im,inv9,644,63,581,885
PSqwzYAfW9dFAa9im,inv10,134,41,93,196
PSqwzYAfW9dFAa9im,inv11,141,56,85,177
PSqwzYAfW9dFAa9im,inv12,240,55,185,385
PSqwzYAfW9dFAa9im,inv13,234,46,188,309
