Challenge;Predicate;ID;Popularity;Expr
jyS8Bmceejj9pLbTW;Inv1;jyS8Bmceejj9pLbTW;1;
jyS8Bmceejj9pLbTW;Inv1;JSrAcQgSMfcif9HKB;10;some Component.parts
jyS8Bmceejj9pLbTW;Inv1;guheshZRDhB5qXQk8;4;some parts
jyS8Bmceejj9pLbTW;Inv1;W6oHwdggaEKonZhTC;2;all c : Component | some parts
jyS8Bmceejj9pLbTW;Inv1;JAyAxW65vXCjfg8JJ;1;all c:Component | c not in c.*parts
jyS8Bmceejj9pLbTW;Inv1;yrEa4shyBtRWwsPE9;1;all c:Component | c not in c.^parts
jyS8Bmceejj9pLbTW;Inv1;pZdfAvpv8WwdLyn9W;6;iden in parts.~parts
jyS8Bmceejj9pLbTW;Inv1;3ZhQSnvEFGQFBZLqq;1;all p:Product | some p.parts
jyS8Bmceejj9pLbTW;Inv1;S76cYd52bJa8WFafr;3;all c:Component |lone c.parts
jyS8Bmceejj9pLbTW;Inv1;qfDmairwbg4TNPheu;1;iden in ~parts.parts
jyS8Bmceejj9pLbTW;Inv1;W3PoLW2BFRHjTKBNn;1;iden in ~parts.parts and Component in parts.Product
jyS8Bmceejj9pLbTW;Inv1;53QK43YpXqA56KRtp;1;iden in parts.~parts and Component in parts.Product
jyS8Bmceejj9pLbTW;Inv1;EpyPe8mqT5xsf3W5r;1;iden in parts.~parts and (Component + Resource) in parts.Product
jyS8Bmceejj9pLbTW;Inv1;dFtoJqhmphXQ8LcuA;1;let R = Component <: parts | iden in R.~R
jyS8Bmceejj9pLbTW;Inv1;XXtP59jThbfWjcjWZ;1;one parts
jyS8Bmceejj9pLbTW;Inv1;xwFL5wYtqm2BRxqgN;1;~parts.parts in iden
jyS8Bmceejj9pLbTW;Inv1;MP6AJayME2G4Gzk6M;2;iden & Product->Product in ~parts.parts
jyS8Bmceejj9pLbTW;Inv1;55YQ69zSobG7oHKB5;1;iden & Product->Product in parts.~parts
jyS8Bmceejj9pLbTW;Inv1;8nEC9KDKra7xZ3yQR;1;always some Component.parts
jyS8Bmceejj9pLbTW;Inv1;QSAZSYrdbZmFZRyyz;1;all c:Component | c.parts != 0
jyS8Bmceejj9pLbTW;Inv1;8hnCafsqHZwfREBcK;2;all c:Component | c.parts in univ
jyS8Bmceejj9pLbTW;Inv1;5jnQBrcwYTyJCJDgs;1;all c:Component | c.parts in (univ-c.parts)
jyS8Bmceejj9pLbTW;Inv1;WBF55HHJuEjhT4xXX;3;all c:Component | some p:Product | c.parts = p
jyS8Bmceejj9pLbTW;Inv2;Wqf3PMPiNJAZDFBFY;2;all c : Component | no (c<:parts).c
jyS8Bmceejj9pLbTW;Inv2;NegLr9xynWhzWgdeP;2;all c : Component | no c<:(parts.c)
jyS8Bmceejj9pLbTW;Inv2;jNhKLMEz5W7KiCyFk;1;all c : Component | no c->parts->c
jyS8Bmceejj9pLbTW;Inv2;og2bX9oq64Xu5XNrn;1;all c : Component | no c->c
jyS8Bmceejj9pLbTW;Inv2;zHxsHSNvgPcqnK6Ao;1;all c : Component | c->c in parts
jyS8Bmceejj9pLbTW;Inv2;udF3wnmBYYonNzx4v;1;all c : Component | c->c not in parts
jyS8Bmceejj9pLbTW;Inv2;L5jj3wKuncFNzbTRr;1;no Component.^parts
jyS8Bmceejj9pLbTW;Inv2;YtgifHvJec8HRYKdB;1;no (Component.^parts)<:Component
jyS8Bmceejj9pLbTW;Inv2;xDztjhzkNEy6RCnis;1;no (Component.*parts)
jyS8Bmceejj9pLbTW;Inv2;s7DF344fNmo9nvbfe;1;no (Component<:*parts)
jyS8Bmceejj9pLbTW;Inv2;n9nkEiwZSXNqXcsLG;1;all c : Component | no (c.*parts)
jyS8Bmceejj9pLbTW;Inv2;uZN9EDqg3nq2CcrFQ;2;all c : Component | no (c.^parts)
jyS8Bmceejj9pLbTW;Inv2;oiAAQXWfwDgqFfuoQ;10;all c:Component | no c.parts & c
jyS8Bmceejj9pLbTW;Inv2;weznZKimxAAeN26FC;23;all c : Component | c not in c.parts
jyS8Bmceejj9pLbTW;Inv2;5AiC2meFP47w7XtKL;1;all c:Component | (c.parts) in (c.parts - c)
jyS8Bmceejj9pLbTW;Inv2;rhvRsNzkfHYwpYJbQ;2;all c:Product | c not in c.parts
jyS8Bmceejj9pLbTW;Inv2;7Kke6FdwCC6iT7qky;1;all c,c1 : Component, p : Position | c->p + c1->p in position => c = c1
jyS8Bmceejj9pLbTW;Inv2;mNYZtKDiHF6acnQPQ;1;all c,c1 : Component, p : Position | (c not in c.parts) and (c1 not in c1.parts) and c->p + c1->p in position => c = c1
